path	label	predict	error_bit
ae_data/G_A/[0.15, 0.015]/14.png	1001011111110000010111111101111110100010100111010100100111001110011100100110000100101000100110000011	0111001101000010101011110001010110001110001111100011101101000101100011001000011010011100000100001111	52
ae_data/G_A/[0.15, 0.015]/15.png	0111111100101111101001010001110100110111001100000100101010001111010000110110110101110111011100101100	0110100101000011001111010000001111111001000100000111101011011110111001010010100100110010100000001011	42
ae_data/G_A/[0.15, 0.015]/16.png	1001001111000110010000111101011001001110100100011111101111000000000011101111111110101110101110001100	1101000010001000011010010100110101101110010100111111100000101001110011100100011111100011011111101010	42
ae_data/G_A/[0.15, 0.015]/17.png	0000100001110001000010100110110001100101100000111110001111111101000100101110001001000011010100001011	0010101001111000001010001100001001001010110110110011101111001111100101110010010110011011001000100111	44
ae_data/G_A/[0.15, 0.015]/18.png	1111010101011001100111100011110111111000010011111111001101000110000101101111011000000101011101110001	0010110001011000010110100100111111001001110100000111100001001011000101010010111000010101001011010110	43
ae_data/G_A/[0.15, 0.015]/19.png	0001110000010111001011100011011110011011001110010000011001001111100110101111111000001101011100010010	0011111000110100100100001110100101001101000111000100001110000101100011111010111100011010101000110110	47
ae_data/G_A/[0.15, 0.015]/20.png	1110111111111001110111011000111111011101010101001101111001110101111000001001110111010100010110011010	1011100111010101000100001010001000111111110100001010011101100000100100111001010111011111011110101010	42
ae_data/G_A/[0.15, 0.015]/21.png	0100101111001001000110101111001110010111101111010100001111100000110010000111110111010100010111001010	0110010111001011000100000111011111110100110010011110111111011111110011000001101010111101111111000100	42
ae_data/G_A/[0.15, 0.015]/22.png	0100101011000111011101101100011010100000101001000101100110100001111100011110010000011101100101000101	0110000000100000010011000100010001000000101100100100100110010010110101111010110110001000111101111010	44
ae_data/G_A/[0.15, 0.015]/23.png	0000101111001110110000101111010011101100001001000010110100100111110101111111011101100100100010011100	0110111011010100100110111100000101111100000101010011110111000010000101110000010100011110110011000101	43
ae_data/G_A/[0.15, 0.015]/24.png	0011110111111001100111110000101001011011001101100110011000100111111001111110101001011011101110110100	0101111000101111010000010010011011101000101000000100000000101011011100111111101001110110101100111000	43
ae_data/G_A/[0.15, 0.015]/25.png	0111001010110100101000000011001010110101000100111110110010101100000101100101011000000110010000001111	0111000001100100101010111111010011111100010100111110111100001010111111100011110011111101100000110011	42
ae_data/G_A/[0.15, 0.015]/26.png	1011010011001010101000101001000011100100100100010110011000010101000111110111001010011111101101010011	0001100000001110100100101000110101110110010110101010101110111101100011100011100000001001000101010110	43
ae_data/G_A/[0.15, 0.015]/27.png	0100101110100111001010000110111010010000010110110010001111111110101110000101010111001101110001011001	1011100111000101110000100110100010101100111110110111011110100111101001000111110001011000100101010010	43
ae_data/G_A/[0.15, 0.015]/28.png	0001001000101001010001001110101000110100100111011110111001001001011010000011111110011000000000110011	1101001011001101000011110101101010010101111001110110110011001100100001011110011110011011001100111110	43
ae_data/G_A/[0.15, 0.015]/29.png	0101100101001001001100101001010000100010000110000010101100110001111011010101101100100110100100111101	0000100101100001110000111001000101010110000100100110000110101011001110011110100101011111001011010101	44
ae_data/G_A/[0.15, 0.015]/30.png	1101010011111110110101000100100000011000010000111011000110100001111001000111011011111110110010000010	0110000111000000010111110100110010001100010000110001111110001100100101010110110000100100010101100001	46
ae_data/G_A/[0.15, 0.015]/31.png	1011000000001011111011110100111111101100010110110100110110110010011100001001111011001110101001100011	0011000000101111111000101001100111101001101101110110111100100000111010010000000111010100010010110011	42
ae_data/G_A/[0.15, 0.015]/32.png	1101001011001000111101010000001101011010111010000000011100010111010001101000100101011010111101101011	1010110001001011000101000000101011110011101100000000110000111100111001001101110100000000101101100101	43
ae_data/G_A/[0.15, 0.015]/33.png	1110010000000100000110001110110000011011100100101111010010011110110011111110111001101101110001111111	0011001001100000001110110100100110111010000100101010001100010010011011001001011101101011100011001110	43
ae_data/G_A/[0.15, 0.015]/34.png	0110000101111101000111010111001111001010011110100011010010010111010010001111100100010101100000101100	0100101000110010000011101000101101001001111001111011010110000010001111100101100100001101100010000101	43
ae_data/G_A/[0.15, 0.015]/35.png	0000010001001100011100100111010101000000000000011100111000101101011001100101100000001000001110111100	0010111000001010011110101010111100011001101000101000010100010101010110111010100100101111000101110111	47
ae_data/G_A/[0.15, 0.015]/36.png	1010010101000001111011101000011110011000100000010011101111000110100011100101100110001111100101011101	1110000010010001001001110001010100000100011011010101100110011110101001100010000100011011100100101010	43
ae_data/G_A/[0.15, 0.015]/37.png	1010001000001000110101000110001110000100000100110000010001001011011001011011110010110010001111111011	1100010100000000010000110000101110111001011110110000001110000101011010000011111000001010101110101011	42
ae_data/G_A/[0.15, 0.015]/38.png	1011110000110001000010011101001111001001100000000000010010011100101111100001010000001010110000111101	0000110111110100010010111111110111000011000101000101010101001111110011011111011000000011010100110010	44
ae_data/G_A/[0.15, 0.015]/39.png	0000111100111100110110000101111010101110010011100101100101111001000110101100011011100000100001011001	0011000110101011110010101000111100000000110010000011000001111100001010101000000111100000011100100001	44
ae_data/G_A/[0.15, 0.015]/40.png	0001111100010111101110010001110010101011000100110010011111001110111110100000000110000011111010011100	0011010101000011100010100011110001100101011011111010000110101111111010000000100101010001011101101001	42
ae_data/G_A/[0.15, 0.015]/41.png	0110101100000100100011011010111110111111101011101001100000101100111100010110001111011001111000001101	1110001101001000011011000011010011111001000001100001110010110110010010110111101110011000010101001010	42
ae_data/G_A/[0.15, 0.015]/42.png	1111111001101100001100001010101100011011000111001101101010011011010111000100010010111100110111011100	1011010000111000001000100000110000000101000000000110001110000111101010110000011110110100111110001100	42
ae_data/G_A/[0.15, 0.015]/43.png	0111110110001000101111110001001110010011000100110001010001110011111110100110011001101110000101011011	0111110110101001001111100010101001000001101001100011000110100110101100111010100100101111100010111111	42
ae_data/G_A/[0.15, 0.015]/44.png	1100101010010110111111100000111000110100001000000000000101110110011111011001000111110011010111011111	0110101011010000111110000100010100011100011111100100111101000000100011100100000101110010110100001010	43
ae_data/G_A/[0.15, 0.015]/45.png	1101100000100001110010011011110010001000011000110001110110110111011001011001001100011000110011001000	0100010000010110110110101100111101110000010100111010000011111000001101111000000011110100110101111000	50
ae_data/G_A/[0.15, 0.015]/46.png	1101100011111011101111100001011100000010010101010100000001010100000001000110101010100101000010100011	0101011101111010001101001010100101011000010000000111000001010011100011100000001000101001110110111011	42
ae_data/G_A/[0.15, 0.015]/47.png	1010011011001100000001110110010011011011111011110110110100011111011111000111101011001101010100011000	1101000111100000000010110101001101001001111010111100101000010101001101000111001111101000101011111001	42
ae_data/G_A/[0.15, 0.015]/48.png	1100011111011110110111001101101111010010111101110010011010001011001001010011010101101111001100000000	0011100111000010000010000101100100110010111001101010100011111001000011110111110100110001010011100010	46
ae_data/G_A/[0.15, 0.015]/49.png	1101000101100110111111000110011111110111010010101001101111101000010011111110110010111001111110110011	1000010000101110110000111111010001100110011000111000001110110010011011100010100100010011111000100010	42
ae_data/G_A/[0.15, 0.015]/50.png	0000010100100100100010110010011011100100111100101000100111101000001110101011111011110011011011010100	1001001100100100111000111101011101001110100100001111110100011110100010110011111010101001010011111110	42
ae_data/G_A/[0.15, 0.015]/51.png	0100010100010011100000000110111101111100001010100011000101111100011001110101111000100011010011101100	0111100100111000110100000000110100001100000011001001110111110001011101010100011110001011100000101011	42
ae_data/G_A/[0.15, 0.015]/52.png	1110111100000111101011001101011010011010101001001111100101110010101010010001101000011101010101010011	0111011101011101111001101100011011001000010111001100110011110000001111011000101000100010100101101100	44
ae_data/G_A/[0.15, 0.015]/53.png	1000100000010111110100010111111001111100110111011110100100111001000110011101110110101111011001101001	1101011010110000001010000000010011111101110111111010111111100100001111111111110010101100011011000001	43
ae_data/G_A/[0.15, 0.015]/54.png	1011111100001100001001111101101001110100010000001011011011011010001001101101010000100101010000000100	1111010101000101100000111111001011111110110100110100011011110000000011001001100101010011111010001010	43
ae_data/G_A/[0.15, 0.015]/55.png	0011110110010111111110000101001011100001110111110110000010010001000001011111100010100001001010101011	0010010110010011000000110101001100100110011101111110011100100011000000001000000010001001100101101100	43
ae_data/G_A/[0.15, 0.015]/56.png	1011110010011110000110001000011000111100101100010101101000100101011101000111111011010001100110000011	1011111000011101001110011000111111111001001110100110110010101111100000010000100100000001110000100110	44
ae_data/G_A/[0.15, 0.015]/57.png	0110000111100010111101100110111111111001001110110111000110110111001001011110000101011111011011100101	1011000100001000101100100001100000100001000010000010011110010101101000010111000101101011001011101010	42
ae_data/G_A/[0.15, 0.015]/58.png	0011110111110111101110010001010011000010111011110000011111010011011000001010101011110100010010011011	1011000011000110111011110111010111011000100010111110110001011001011110010100101100100000010010011101	42
ae_data/G_A/[0.15, 0.015]/59.png	0101010101000010000001001010011110001001101101010110000011010110101101000010000001111000111010101010	1110011100011001000010001011010001011100110001100011010010011000001110011010110100011101000100100110	50
ae_data/G_A/[0.15, 0.015]/60.png	1110010011111011011011001100010111011000010111101000111110011110010110000000010110100000111000011011	0100100011000100000000100001111100011001010001111010111000010110100101110101000101101100100010011001	47
ae_data/G_A/[0.15, 0.015]/61.png	0110100000111000000001110110100001110110111100110010110100100100011010111010011001110110001111000111	0111010000100111010100110000011011000010011010110011101000110000101011001001011111110111100011001101	44
ae_data/G_A/[0.15, 0.015]/62.png	0100001000001010100111000110101011110000001010101010101111111110011011011011011100001101010111100110	1010001000110010011011011001100011010110110000110000101010000110111011110000001100101101110010001110	43
ae_data/G_A/[0.15, 0.015]/63.png	1111110111100011001000101100101010101100111011001011000011010001011111101011010001111111001010010111	1100110000100001101000010100110111000101111010010000101000000110100101000110010000011101101010100101	45
ae_data/G_A/[0.15, 0.015]/64.png	0101011110110111011101011110100001011000000111100110001110000010010111010111000000000110001111010110	1000001100001111111010011011100011010001110110101010100111000001110110100001011011000010101001010010	42
ae_data/G_A/[0.15, 0.015]/65.png	0110010001010110011001111001010100000011010100110110001011010000101111001111100011111101100111110111	0100110110010110010101111101110001001100001010000001001011100001100110111011100001011000111011011100	43
ae_data/G_A/[0.15, 0.015]/66.png	0101101110010101001100010010010111101001110101000110000010100000111111111100100110000101000000111010	0011001101010010011010111000001011101110100000010100110110011001100011011100100000001010100111111110	47
ae_data/G_A/[0.15, 0.015]/67.png	1101100010111101110010101111000101001011101110111110100001111111110100011101111001001110111011001111	1000000000100011100111001111000111110111111111111000001011010101010100100111001101111111101000001101	42
ae_data/G_A/[0.15, 0.015]/68.png	1110001100000000000000111011010001010000010111011000000110001111000111011110110100011100100110010100	1011010100111101100100111111000001101000011111001000110010001011010110110000101011111010010101101101	44
ae_data/G_A/[0.15, 0.015]/69.png	0000011001101110001001011010000000100100010111010100111101110100101111100001110111101010000111001010	0111101010111111101100010010110000101110000111110001010011000101001110100001110011011000110010111100	42
ae_data/G_A/[0.15, 0.015]/70.png	0101000100110000001011001100111101110011000011101001011001100100101100111100101000111100110011000011	0010100100011000010000101000110100101101100000110100011010000111000100010101001011110100100101110011	44
ae_data/G_A/[0.15, 0.015]/71.png	1010101111101101001010011010100111110111111101000111101100100000110110010001110001101011011111010111	0010001001101000101100010000100111111110010100110110000001100100011000001000110010110110101011011110	42
ae_data/G_A/[0.15, 0.015]/72.png	0100010111101101011011110100011010001001000011010011101011111000001011000000001111010101100111100000	0010010010001100100000111100001101101000001001101010001101101001101110001010000011011110000101000000	42
ae_data/G_A/[0.15, 0.015]/73.png	1010000011001001001110010101010101100100100100000000111010011101111001011011010111010100111000000101	0100011111001010000001110001110101101010001000101001010010011101100010010000011011111100110101100110	43
ae_data/G_A/[0.15, 0.015]/74.png	1001000111001110111101101111010100010010100110011100010111110111011111100111110010000111101111111011	0101000100100010001000001111100001100011010100101010011111011101100000110010110010100111111001101001	45
ae_data/G_A/[0.15, 0.015]/75.png	0100001110110101101001110000100101100000110011100011000010100001011011011011011111100111100010101010	1111000110110110001111100100110110000111000000110110000010011101001001100010001111101110110100101110	42
ae_data/G_A/[0.15, 0.015]/76.png	0001010000010011111100001011111000011010000000010001011101100000010010010101111100001010111010111100	1100000001110100000110111101100100111000100011000000010011100011010100100001001100111011110110111101	45
ae_data/G_A/[0.15, 0.015]/77.png	1101110110111111001110011000100110101110011101111111101111111110101110111011111000100011010100101111	1100000000111011001011011011001101011100011100000010101001101100101100111100010010000010100000001000	43
ae_data/G_A/[0.15, 0.015]/78.png	0101010000110011000110110110010000110001110100101110110010000110111000011011101101010101101000111110	1000011010111001011110101010110000000001000110110110110101001101011000000011101111100011011011000001	44
ae_data/G_A/[0.15, 0.015]/79.png	1111010010101001000001110111011011000010100010000101101000011010100101111100011101001110100001001101	1000110000110001100100110011010111110011001001111101001001110001001000111110000101010011000001011101	42
ae_data/G_A/[0.15, 0.015]/80.png	0000000100010010011011100001111110100010001011000000101101011000100110011001011001001011001101000110	1001001010011110011000000110110110010001000000001110001100010000101000010101011110011000001011000000	42
ae_data/G_A/[0.15, 0.015]/81.png	1110101111001011111011011000001011100010000010011101000110110110010000110110011000100100111010000011	1111101111010010110000110011110001111001100100101111011101110110101000011100110000001000110011000010	43
ae_data/G_A/[0.15, 0.015]/82.png	1010100001000001001101110010101011001110101000110101010011001100000000000001111011011011101001010001	1010000011101110001001111000100110101100101010100110000110000011101000011101000100111010111001100000	43
ae_data/G_A/[0.15, 0.015]/83.png	0111001011111101001110000000100100010010111010001011101001100000001011001011101011110000001100101101	0100010010111010010000101000100110010001001100111111101101111100011001100111110100110100000001111101	43
ae_data/G_A/[0.15, 0.015]/84.png	0100011011111101000010001100111111100011101100011111011111110110110110110110001111001111011111001000	0001001001101100000011001100100100000110110010110101000010010011011001000010011111110100101101000000	46
ae_data/G_A/[0.15, 0.015]/85.png	1101010011011011001100011100011010111111110010111110111110000101100110101110011101000000000110101110	0010010111000100010100011100110001100111010000101101111100011010000111100000111100100000000100000001	43
ae_data/G_A/[0.15, 0.015]/86.png	0000110110100000100101000011001000111110000100011011110001101111001010000000000011101011000000011100	0011100110111000110111110000100110010110100101011011101100000100110101100001101110101011001000110011	45
ae_data/G_A/[0.15, 0.015]/87.png	0111000110101110110010010010010001001101110001010000000010111101001111111000100111011100101110010101	0111011111100111001000011110111001100011010100100001111000011001101111011111101100101000101101111111	45
ae_data/G_A/[0.15, 0.015]/88.png	1001100000100011010110011111111100001110000011011101010000001111110100011000100000010000100000100001	0010100000111101101001011101101010101001001001100000001011011011101001011111011000001100100100110111	51
ae_data/G_A/[0.15, 0.015]/89.png	0011010101100010110111110110111011101110111010011011111111111000001010001011011011110101101001101101	0101010110111101110111101000110110100000011101111010100100000011110110011010111011110101010001101010	47
ae_data/G_A/[0.15, 0.015]/90.png	1011001110000111101110011011111010101101101010000011100101110010001111001100110101110010111010001101	1011000010100000010010011110110000001010111000100111101000010110000010001011111100111001110110000001	42
ae_data/G_A/[0.15, 0.015]/91.png	1100100011011000111011110001011010011110111000000100101110001100101100010011100101111111100100011011	1000100010011100100100111101100011110101111100110111100001010001000000000001100111001101110011011011	44
ae_data/G_A/[0.15, 0.015]/92.png	0010100000000011110101101010111101110111010111100000111001101110001111101111011111000010010111000111	1010101001001001110100101100110000010111110001100100101101000000110010011010010110100100111111111010	43
ae_data/G_A/[0.15, 0.015]/93.png	1010110011001100011101101101000010100000011110110010101001101000110000000111011110110011101111011001	0010011011101100100110101100100110110010111110001000001110010100011101000010001101001010100101110101	45
ae_data/G_A/[0.15, 0.015]/94.png	0101000101000100100000001101111110100101100101000001111000101000010010111001100010100011001100000010	0001110100000001101110111110010011100101100110110100100000111100010010010110101000000100011001111100	46
ae_data/G_A/[0.15, 0.015]/95.png	0100111111111000011000101000111110111100111010110001001010100001000100111000001010100110011110011011	0010110001001000110000110000110100110110011100011011111100100101101101010001101011010000010100010000	43
ae_data/G_A/[0.15, 0.015]/96.png	0100010101101000110101001001110010011000001100000000001000101101100010011011011001110010010110001010	1111011010111001011101110011111010101101001001110111011000101101011000011110001100100110111111001000	43
ae_data/G_A/[0.15, 0.015]/97.png	0100011000111101001010111000011110111001010000011001111110111001101111010000111011001110110000011011	0001010100101110110010101010010111101101011101110011011110001110011111110000101011101001010001000110	42
ae_data/G_A/[0.15, 0.015]/98.png	0010111101111010100000101101001011011011001100100101110000111111100001001110110010000111000111100110	0010011101000001010000010000001011001100010011011010110000111001110000011110100101100111100101101111	42
ae_data/G_A/[0.15, 0.015]/99.png	1001010001110100100000000000100000000001011011111100010100000110111100101110011101111011111011110101	1000010001000001001101000111011010010001001100101110010101010100111110111101010110000111000000001110	47
